epoch,loss,encoder_mse,dec_mse,bitwise-error,adversarial_bce,discr_cover_bce,discr_encod_bce,duration
354,0.2972,0.0017,0.2953,0.5012,0.6943,0.6949,0.6918,121
355,0.2976,0.0013,0.2960,0.4972,0.6930,0.6929,0.6933,122
356,0.2967,0.0013,0.2951,0.4975,0.6932,0.6932,0.6930,122
357,0.2956,0.0017,0.2937,0.5009,0.6942,0.6940,0.6923,121
358,0.3011,0.0018,0.2991,0.5045,0.6936,0.6937,0.6926,120
359,0.2953,0.0016,0.2935,0.4958,0.6932,0.6929,0.6933,120
360,0.2926,0.0016,0.2908,0.4957,0.6927,0.6924,0.6937,121
361,0.2958,0.0018,0.2939,0.4973,0.6945,0.6952,0.6917,120
362,0.2991,0.0021,0.2969,0.5000,0.6925,0.6924,0.6940,120
363,0.2988,0.0020,0.2967,0.5029,0.6942,0.6943,0.6921,120
364,0.2978,0.0018,0.2958,0.5005,0.6925,0.6925,0.6938,120
365,0.2949,0.0020,0.2928,0.4996,0.6942,0.6942,0.6922,120
366,0.2952,0.0021,0.2930,0.4976,0.6927,0.6928,0.6936,120
367,0.2959,0.0013,0.2943,0.5016,0.6932,0.6929,0.6934,121
368,0.2972,0.0013,0.2956,0.5020,0.6941,0.6942,0.6921,121
369,0.2996,0.0026,0.2971,0.5028,0.6920,0.6918,0.6944,121
370,0.2965,0.0015,0.2947,0.4962,0.6948,0.6949,0.6915,120
371,0.2972,0.0015,0.2955,0.5039,0.6937,0.6939,0.6924,121
372,0.2935,0.0017,0.2916,0.4969,0.6924,0.6922,0.6941,120
373,0.2983,0.0013,0.2967,0.4998,0.6941,0.6939,0.6921,121
374,0.2969,0.0016,0.2951,0.4991,0.6930,0.6933,0.6932,121
375,0.2991,0.0018,0.2972,0.4975,0.6930,0.6929,0.6934,121
376,0.2988,0.0016,0.2970,0.4994,0.6938,0.6936,0.6927,120
377,0.2963,0.0020,0.2943,0.5015,0.6917,0.6916,0.6943,121
378,0.2961,0.0020,0.2940,0.5046,0.6950,0.6949,0.6918,121
379,0.2964,0.0011,0.2950,0.5038,0.6916,0.6917,0.6946,121
380,0.2958,0.0011,0.2943,0.5010,0.6930,0.6927,0.6935,121
381,0.2975,0.0017,0.2956,0.5017,0.6918,0.6916,0.6946,121
382,0.2985,0.0013,0.2969,0.4993,0.6947,0.6946,0.6916,121
383,0.2964,0.0013,0.2948,0.5002,0.6926,0.6930,0.6934,121
384,0.2991,0.0016,0.2973,0.4984,0.6934,0.6931,0.6931,120
385,0.2951,0.0016,0.2932,0.4958,0.6927,0.6927,0.6936,121
386,0.2959,0.0021,0.2937,0.5055,0.6939,0.6937,0.6924,121
387,0.2950,0.0017,0.2931,0.5007,0.6934,0.6932,0.6929,121
388,0.2977,0.0012,0.2962,0.5040,0.6922,0.6920,0.6942,121
389,0.2962,0.0014,0.2945,0.4971,0.6938,0.6939,0.6924,120
390,0.2950,0.0016,0.2932,0.4995,0.6936,0.6932,0.6927,120
391,0.2968,0.0008,0.2955,0.5070,0.6915,0.6908,0.6953,120
392,0.2989,0.0010,0.2975,0.5070,0.6962,0.6966,0.6899,120
393,0.2980,0.0013,0.2964,0.4982,0.6924,0.6923,0.6942,120
394,0.2972,0.0015,0.2955,0.5051,0.6932,0.6931,0.6931,120
395,0.2942,0.0018,0.2922,0.5013,0.6933,0.6930,0.6931,120
396,0.3030,0.0018,0.3011,0.5044,0.6941,0.6936,0.6921,120
397,0.2970,0.0014,0.2953,0.4960,0.6926,0.6923,0.6940,120
398,0.2926,0.0015,0.2908,0.4934,0.6930,0.6929,0.6932,120
